,time,range,elevation,azimuth,radial_velocity,range_uncertainty,elevation_uncertainty,azimuth_uncertainty,radial_velocity_uncertainty,ID
1,1736300033.9641945,79390.23560912517,5.310218786717689,221.95559723474088,-267.2573049942228,818.6266630688323,0.05368703006204615,2.261283789035473,2.7298597873623884,2.0
2,1736300038.1646268,77912.28922281993,5.519031531110205,216.68270725171766,-281.5719156948147,690.5936409372244,0.048878751513023073,1.9461940924062515,2.495787925706659,2.0
3,1736300043.6398628,81690.78051004215,5.409282891522472,220.50701449094328,-225.24881059683838,800.0001648223371,0.05184386610292983,2.1433266669837048,2.188456615929699,5.0
4,1736300047.8539157,80053.70113218408,5.771020206678957,219.90002494446358,-241.26260695326292,611.2968419629557,0.04432080421860459,1.6697723240538933,1.835109470118906,5.0
5,1736300052.0517356,78671.50430980316,6.2287169583336555,220.24543349537782,-260.074111780652,504.7000924679244,0.03980377560030734,1.4047076919033978,1.664867925607711,5.0
6,1736300056.2594664,76514.90940351099,6.50537185205688,219.52708787390856,-280.30095815926114,444.1946014409345,0.03721963327929554,1.259143910431993,1.6075932849669927,5.0
7,1736300057.7597551,79055.36253719436,5.106398519408339,217.77776100165462,-296.18576501056015,893.1396070469883,0.057399613207195575,2.4925692145618625,3.387711695550286,6.0
8,1736300079.104831,82232.38067657533,5.339551627740621,219.5506915272927,-223.37317753756258,782.2717766072802,0.0510338524774566,2.089206044476233,2.1096361385153792,13.0
9,1736300079.6978416,77713.84473254197,5.14151461718585,221.96539749322162,-295.03261847333505,800.8735856561732,0.05347954762157518,2.2311720449908683,2.9719379139985196,11.0
10,1736300080.2754824,80242.0472754329,5.1256531521621005,220.57151340324052,-269.0377053719966,849.9155385817253,0.05457182522539916,2.3062496913271913,2.8288200285283787,12.0
11,1736300083.2933528,81300.70804490919,5.835484734873036,217.6974650527394,-236.89284086183721,597.3801395964771,0.04360445091820802,1.625781076707134,1.7715308130639018,13.0
12,1736300084.478164,79302.44665981198,5.339549038112769,215.23046941331592,-284.5126618382725,721.3490247382291,0.049815645518391384,1.9917908279919778,2.6020228308195783,12.0
13,1736300087.4913938,78813.4672891385,6.246626454546645,220.32309840520708,-259.05046358580967,492.67333521332597,0.03912647861431772,1.3655248660997183,1.6080835940376004,13.0
