,time,range,elevation,azimuth,radial_velocity,range_uncertainty,elevation_uncertainty,azimuth_uncertainty,radial_velocity_uncertainty,ID
1,1736300016.2687879,48132.48685442878,5.194096538384373,229.5216698002752,-240.0774178784583,305.33827938401794,0.0328726681651516,1.446963254450788,1.5175485726344886,1.0
2,1736300016.4631383,49496.45607567511,5.1980443449294675,227.55341490002775,-189.91321057916056,305.46905236853775,0.03232216218443213,1.4138864722377722,1.1758035274077474,2.0
3,1736300017.9593945,46931.60540956663,5.725971938405914,225.5713935367034,-236.83691426341224,224.33497488085723,0.02737997997947438,1.0838004045831957,1.1300818926679206,1.0
4,1736300018.1599305,48496.42068889774,5.893228325518825,227.8987899941828,-187.46282667362988,211.41051596964238,0.025920747318940167,0.9976849027115209,0.8206790929847148,2.0
5,1736300019.6584349,46051.217366214085,6.258934980072379,225.7306898584143,-236.81907524909778,172.3647295016853,0.023476323827061125,0.848518112124838,0.8851808934750901,1.0
6,1736300019.8639991,47210.25488154309,6.599267416656889,227.38994904546362,-187.0500886294705,154.84795587152223,0.021567682794336636,0.7446481916286574,0.611238917039421,2.0
7,1736300021.364508,45330.66869142388,6.739841661964361,225.1902381198107,-239.22779129689545,137.19077403627048,0.020590223179891336,0.6878823009466508,0.7217750871703588,1.0
8,1736300021.5504353,46509.03260378887,7.243420908628184,228.06262226596007,-186.9276207610555,118.39059504607107,0.018447603673698333,0.5798822182163753,0.47853050869148295,2.0
9,1736300022.7258246,48859.11820866794,5.4843805390597655,227.42050704169364,-210.28004628721646,261.8987749638849,0.02964332598585261,1.2259738100843598,1.148435029135802,3.0
10,1736300023.0643928,44388.47000336288,7.220943487508549,226.69010532101694,-238.99299375078633,112.37902355035261,0.01839237205907096,0.5737120825581811,0.608197493839594,1.0
11,1736300023.266463,45322.85432191054,7.851016840116031,227.01733964756812,-189.21569174437744,93.62294989579674,0.01612187036052966,0.46688770165015736,0.38976917873656364,2.0
12,1736300024.4317057,47429.50688714003,6.07377996977534,226.15872268850873,-213.40736427588917,192.75094544282317,0.024712931286144248,0.9183082927827039,0.8616938383010416,3.0
13,1736300024.7595954,43504.233009386604,7.670167881856215,225.48044309286334,-242.32984426044902,94.29674881843997,0.01668102446985905,0.48999417459424593,0.5267710061241638,1.0
14,1736300024.9613912,44700.867304964704,8.40259856326847,226.43304679754254,-191.9830665053183,76.09050256260417,0.01433545959230955,0.38621259015899523,0.3278724550065266,2.0
15,1736300026.124667,46721.34619277899,6.675821245804519,224.9664709278088,-213.0800858276309,148.23526871859846,0.021195279596810043,0.7183974301498938,0.6795299260277848,3.0
16,1736300026.4549334,42458.94127108921,8.073061718988686,224.91049587434767,-246.21474908041645,80.77324041741457,0.015326492679844204,0.4271031971981446,0.467068967023958,1.0
17,1736300026.6691232,43799.37760420028,8.940947017595253,226.4709577240475,-195.97228280807474,63.26496748196732,0.01293092484262394,0.32674381611944625,0.2832870161546519,2.0
18,1736300027.8296428,45655.91461838872,7.215947574947689,225.38961618898657,-216.51613776646082,118.01989353034851,0.018585255526327494,0.5815637527745345,0.5574332304008633,3.0
19,1736300028.157442,41708.57994956133,8.417415403932823,225.1810275292311,-250.11308982443015,70.45037809651514,0.01424217504791869,0.3789854151765205,0.4226522732359074,1.0
