latitude,longitude,ammunition,certainty (True/False)
31.526085986199533,34.44303354879356,Grad,True
31.3543208971645,34.26420054098106,Grad,True
31.45162667185322,34.39383587499595,Grad,True
31.537488354745065,34.51187452932334,Grad,True
31.273222817483102,34.26810106893516,Grad,True
31.324261082711374,34.232927175960306,Grad,True
31.544617070260202,34.467724176845316,Grad,True
31.46350468546406,34.28298315664268,Grad,True
31.34949649721638,34.29263910909629,Grad,True
31.504715336861764,34.443074079952005,Grad,True
31.30530918985859,34.24071392675376,Grad,True
31.52958716303364,34.53814348836875,Grad,True
31.531473053994333,34.4797500099752,Grad,True
31.470120801034128,34.34600910802818,Grad,True
31.424530400338327,34.372227999171976,Grad,True
31.35589684397236,34.40203032155967,Grad,True
31.51820267588154,34.50115523000694,Grad,True
31.45381058603779,34.44975456853843,Grad,True
31.286862744393503,34.25241312643028,Grad,True
31.462555779519235,34.39252695699668,Grad,True
31.439698590340768,34.31645712514854,Grad,True
31.55123318583027,34.52027640005088,Grad,True
31.504226578774606,34.458120676479105,Grad,True
31.465495480599557,34.220364901027445,Grad,True
31.533692730965768,34.33148226400352,Grad,True
31.503442181649362,34.379127832851175,Grad,True
31.44536341578022,34.4078882660482,Grad,True
31.398163689675485,34.34726557394004,Grad,True
31.34206856638447,34.2867191757772,Grad,True
31.371619357171213,34.448591085872415,Grad,True
31.391778840127145,34.29278812070823,Grad,True
31.355536831917917,34.273908945522074,Grad,True
31.491292370858346,34.42067465444541,Grad,True
31.593469037118112,34.438446375331644,Grad,True
31.52092780024067,34.41432079931236,Grad,True
31.541198147835885,34.47433075567222,Grad,True
31.448112381997262,34.357810827693704,Grad,True
31.537284506859933,34.2867716278646,Grad,True
31.329739941659128,34.23573813100791,Grad,True
31.42613734156147,34.450817915401224,Grad,True
31.447337521615182,34.38412031789756,Grad,True
31.54432858377949,34.45817312856651,Grad,True
31.54214705378071,34.50512251516319,Grad,True
31.520582093300973,34.214709612331156,Grad,True
31.273673428597604,34.27779993673301,Grad,True
31.453265799584543,34.181817385158304,Grad,True
31.442693127694284,34.264660688838724,Grad,True
31.415099753441964,34.406407686671976,Grad,True
31.465072287621652,34.37386951108909,Grad,True
31.50911892801777,34.57488140722251,Grad,True
